Timestamp,q.w,q.i,q.j,q.k,euler
1716936526109,0.9998959,-0.004028443,-0.0138554,0.0003051851,[179.95862011   1.58760871  -0.46224446]
1716936526109,0.9998972,-0.004119999,-0.01373333,0.0003051851,[179.95853258   1.57361553  -0.47273246]
1716936526109,0.9998995,-0.004058962,-0.01358074,0.0003051851,[179.95869993   1.5561311   -0.46572786]
1716936526109,0.9999006,-0.003875851,-0.01355022,0.0003051851,[179.95899859   1.55264107  -0.44473731]
1716936526109,0.999902,-0.003723258,-0.01348918,0.0003051851,[179.95926175   1.54565206  -0.42724331]
1716936526109,0.9999011,-0.003540147,-0.01361126,0.0003051851,[179.95949512   1.55964989  -0.40626072]
1716936526109,0.9998986,-0.003418073,-0.01382488,0.0002746666,[179.96309965   1.584148    -0.39223066]
1716936526109,0.9998989,-0.003204443,-0.0138554,0.0002746666,[179.96342694   1.58765348  -0.36774474]
1716936526109,0.9998991,-0.003112888,-0.0138554,0.0002746666,[179.96357234   1.58765696  -0.35725027]
1716936526109,0.999899,-0.003021332,-0.01388592,0.0002746666,[179.96370714   1.59115788  -0.34675704]
1716936526109,0.9999012,-0.002990814,-0.01373333,0.0002746666,[179.96380827   1.57367187  -0.34325193]
1716936526109,0.9999006,-0.002899258,-0.01379437,0.0002746666,[179.96393202   1.58067052  -0.33276014]
1716936526109,0.9998983,-0.002960295,-0.01394696,0.0002746666,[179.96378348   1.59815546  -0.33976346]
1716936526109,0.9998997,-0.002929777,-0.0138554,0.0002746666,[179.96386317   1.58766353  -0.33626114]
1716936526109,0.999899,-0.00286874,-0.01391644,0.0002746666,[179.96393994   1.5946611   -0.32926754]
1716936526109,0.9998987,-0.002807703,-0.01394696,0.0002746666,[179.96402743   1.59816103  -0.32227254]
1716936526109,0.9998983,-0.002960295,-0.01394696,0.0002746666,[179.96378348   1.59815546  -0.33976346]
1716936526109,0.9998981,-0.002899258,-0.01397748,0.0002746666,[179.96387087   1.60165525  -0.33276843]
1716936526109,0.9998952,-0.002838221,-0.01419111,0.0002441481,[179.96739702   1.62615004  -0.32573208]
1716936526109,0.9998939,-0.002838221,-0.01428266,0.0002746666,[179.96386888   1.63663195  -0.32578588]
1716936526109,0.9998972,-0.003051851,-0.014008,0.0002746666,[179.96361566   1.60514741  -0.35026092]
1716936526109,0.9998956,-0.003143406,-0.01409955,0.0002746666,[179.9634355    1.61563596  -0.36075978]
1716936526109,0.9998964,-0.003173925,-0.01403851,0.0002746666,[179.96340849   1.60863946  -0.36425518]
1716936526109,0.9998967,-0.003204443,-0.014008,0.0002746666,[179.96337063   1.60514187  -0.36775192]
1716936526109,0.9998959,-0.003173925,-0.01406903,0.0002746666,[179.96339733   1.61213723  -0.36425664]
1716936526109,0.9998968,-0.003326518,-0.01397748,0.0002746666,[179.96318631   1.60163962  -0.3817434 ]
1716936526109,0.9998987,-0.003234962,-0.0138554,0.0002746666,[179.96337846   1.58765252  -0.37124302]
1716936526109,0.9999005,-0.003326518,-0.01370281,0.0002746666,[179.96329148   1.57016208  -0.38173043]
1716936526109,0.9999028,-0.003387555,-0.0135197,0.0002746666,[179.96326701   1.54917513  -0.38871809]
1716936526109,0.9999024,-0.003265481,-0.01358074,0.0002746666,[179.96343324   1.55617485  -0.37472837]
1716936526109,0.9999049,-0.003265481,-0.01339763,0.0002746666,[179.96350207   1.53519014  -0.37471981]
1716936526109,0.9999054,-0.003234962,-0.01336711,0.0002441481,[179.96705838   1.53170498  -0.37117346]
1716936526109,0.9999065,-0.003265481,-0.01327555,0.0002441481,[179.96704602   1.52121113  -0.37466771]
1716936526109,0.9999062,-0.003112888,-0.01333659,0.0002441481,[179.96725636   1.52821136  -0.3571797 ]
